countrycode,year,median
CAF,1993,0.5809532041385395
MMR,1993,0.6809222854006693
MLI,1993,0.716787774734667
MOZ,1993,0.7281722670805509
LBR,1993,0.7536674497811443
SWZ,1993,0.754527910260274
COD,1993,0.795737112165695
BFA,1993,0.8104525141599074
SLE,1993,0.8925866219723808
BDI,1993,1.1056637543605141
NER,1993,1.1888964384980647
TCD,1993,1.1958967615218812
TZA,1993,1.2355125457148046
GMB,1993,1.2441633390365896
RWA,1993,1.2880917922244295
ETH,1993,1.289644239392976
MDG,1993,1.3572371264690717
MWI,1993,1.3654069622491025
NPL,1993,1.4138350037188456
GNB,1993,1.454419888630067
HTI,1993,1.4544228036695077
TGO,1993,1.4677927474951902
GIN,1993,1.4746714452269485
UGA,1993,1.5196967405593471
SEN,1993,1.5323983926723035
NGA,1993,1.5358104690641785
CHN,1993,1.6551253652446403
BEN,1993,1.670144802572925
ZMB,1993,1.6918538712609315
IDN,1993,1.7062929376242266
PNG,1993,1.7898680155817719
COG,1993,1.843422174154618
VNM,1993,1.8490521308146792
NAM,1993,1.8500609335195999
CMR,1993,1.9229214164417998
LSO,1993,1.9356407587857123
CPV,1993,1.9491948271080104
IND,1993,1.9873544181992986
GHA,1993,2.024138155362824
BTN,1993,2.0534015240705776
SDN,1993,2.0613808550299977
PAK,1993,2.122122403906389
BIH,1993,2.148791321349481
BGD,1993,2.174349815787461
MRT,1993,2.212957450251586
AGO,1993,2.274352391378201
LAO,1993,2.316810926254725
UZB,1993,2.3969011228571584
LCA,1993,2.470478382721996
KEN,1993,2.4860819414315403
TJK,1993,2.61228096172986
TKM,1993,2.6239426274739004
SLB,1993,2.6453808787201476
IRQ,1993,2.651931796551918
BWA,1993,2.777381368884112
GUY,1993,2.868848205973174
ARM,1993,2.9292211958725547
PHL,1993,3.0496522077198973
CIV,1993,3.1657634977434763
ZAF,1993,3.1912204096903736
VUT,1993,3.1979478295923505
HND,1993,3.5425239226368164
LKA,1993,3.571973205973174
EGY,1993,3.651561212642863
MNG,1993,3.677982648265374
NIC,1993,3.704082394632648
GTM,1993,3.801187183445842
ALB,1993,3.9789845410419833
ZWE,1993,4.00032669507342
KIR,1993,4.0281992323118
DJI,1993,4.07940502895272
LTU,1993,4.146321565707211
YEM,1993,4.161914216389204
BOL,1993,4.220584448553124
ECU,1993,4.301473900053791
JAM,1993,4.380858168521674
FJI,1993,4.42274153670355
SUR,1993,4.475546624025346
BRA,1993,4.578690177422115
TUN,1993,4.591681208794748
COM,1993,4.59697121016449
PER,1993,4.655433556974107
SYR,1993,4.667794195516138
SLV,1993,4.862042429460112
KAZ,1993,4.88243516983137
TUV,1993,4.921556767382754
DZA,1993,4.999457833308477
WSM,1993,5.020702805396967
THA,1993,5.035764040563629
FSM,1993,5.040205895269895
MAR,1993,5.083983168521674
MUS,1993,5.318930858079439
ROU,1993,5.396159375940159
MDA,1993,5.432116641801414
GAB,1993,5.579082394632647
BLZ,1993,5.579083513267473
JOR,1993,5.615701586389853
GEO,1993,5.700494298678899
COL,1993,5.72198275927988
UKR,1993,6.069866286328195
MKD,1993,6.13000990095325
MEX,1993,6.166931155087582
BLR,1993,6.384843666454561
MNE,1993,6.558264438128598
AZE,1993,6.611648106900285
TON,1993,6.7158550337990786
IRN,1993,6.918517255836559
PSE,1993,6.9611880423222265
LVA,1993,7.009245499796005
CHL,1993,7.029138048471782
DOM,1993,7.0489401872445185
PAN,1993,7.257052044058276
TUR,1993,7.259706233280195
CRI,1993,7.4883724589226786
TTO,1993,7.596359095964902
POL,1993,7.691751314119669
VEN,1993,7.7870911822285205
SRB,1993,8.183563218403357
EST,1993,8.36235576165487
PRY,1993,8.375127523229942
MYS,1993,8.525605433543308
RUS,1993,9.29881364524325
HRV,1993,10.437666041590878
SYC,1993,12.05258570484422
ARG,1993,13.051062345490209
HUN,1993,13.106373153124327
BGR,1993,13.450245963398533
SVK,1993,13.976455180673097
CZE,1993,14.300777554902897
URY,1993,16.711448723070003
PRT,1993,16.711837034733733
LBN,1993,17.303350093853343
SVN,1993,17.5777509893637
KOR,1993,18.45108391616486
ISR,1993,18.71609651969876
MLT,1993,19.357334078303992
GRC,1993,19.421875
CYP,1993,19.798413864482523
IRL,1993,20.79716871605107
ESP,1993,21.21591790171034
GBR,1993,26.7021484375
ITA,1993,27.183442573058635
AUS,1993,28.11388053153717
FIN,1993,28.852614241001717
ISL,1993,29.306053347641253
JPN,1993,29.7021484375
SWE,1993,31.67023998741273
FRA,1993,31.984994799280475
BEL,1993,32.235627148518304
NLD,1993,33.48542699456439
NOR,1993,34.85254948764785
DNK,1993,37.108511223542095
CAN,1993,37.50288169359574
DEU,1993,39.625
AUT,1993,39.777141552249105
USA,1993,43.421875
LUX,1993,47.22421579464482
CHE,1993,47.79905704842896
COD,2002,0.49469745064931125
MOZ,2002,1.0375432906153714
TZA,2002,1.0551008147843286
MDG,2002,1.0876682534925108
BDI,2002,1.0907289817222399
NER,2002,1.1278951935025436
RWA,2002,1.1889773496916363
SLE,2002,1.2049734412226727
MWI,2002,1.262471225946262
MMR,2002,1.3188233364623527
TCD,2002,1.3366337343198786
HTI,2002,1.365280521494732
BFA,2002,1.3716131986392404
GMB,2002,1.3853526178883722
CAF,2002,1.4214398247243187
LSO,2002,1.4403110110531239
UGA,2002,1.4674825752339882
GIN,2002,1.518537079911736
MLI,2002,1.6285763135561249
